                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.48855,                0.51759,                 1.0346,                0.77281,                0.62918,                0.73397,                0.60697,                0.71375,                 1.1207,                 1.1589,             0.00032523,             0.00032523,             0.00032523
                     57,                0.49155,                0.50963,                 1.0255,                0.74523,                0.68742,                0.76804,                0.61966,                 0.7719,                 1.0601,                 1.1966,             0.00031816,             0.00031816,             0.00031816
                     58,                0.46531,                  0.494,                 1.0133,                0.83445,                0.79687,                0.82828,                0.65533,                0.73704,                0.93154,                 1.1732,             0.00031109,             0.00031109,             0.00031109
                     59,                0.46747,                0.47636,                 1.0138,                0.67266,                0.79202,                0.79291,                 0.6089,                0.78377,                 1.1087,                 1.2194,             0.00030402,             0.00030402,             0.00030402
                     60,                0.47456,                0.48911,                 1.0356,                0.72736,                0.75127,                0.78163,                0.61744,                 0.7505,                 1.0324,                 1.1997,             0.00029695,             0.00029695,             0.00029695
                     61,                0.44821,                0.46623,                 1.0143,                0.84576,                0.77127,                 0.8314,                 0.6712,                0.74752,                0.95548,                 1.1749,             0.00028988,             0.00028988,             0.00028988
                     62,                0.46138,                0.47538,                 1.0087,                0.69953,                0.76893,                0.80102,                0.63422,                0.76458,                  1.061,                 1.1971,             0.00028282,             0.00028282,             0.00028282
                     63,                0.45488,                0.47244,                 1.0128,                0.84756,                0.71917,                0.81286,                0.67417,                0.70176,                0.98061,                 1.1523,             0.00027575,             0.00027575,             0.00027575
                     64,                0.45546,                0.47153,                 1.0106,                0.82599,                0.71005,                0.79418,                0.65998,                0.72556,                 1.0317,                 1.1621,             0.00026868,             0.00026868,             0.00026868
                     65,                0.44789,                0.45426,                0.99666,                0.80154,                0.75548,                0.80058,                0.61515,                 0.7356,                 1.0467,                 1.1886,             0.00026161,             0.00026161,             0.00026161
