                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                  1.729,                 2.8421,                 2.2742,                0.68153,                0.30798,                0.34288,                0.21204,                 1.5408,                 3.0621,                 2.2704,             0.00033683,             0.00033683,             0.00033683
                     52,                 1.7613,                 2.9161,                 2.3128,                0.34206,                0.36271,                0.34526,                0.21094,                 1.5143,                 3.0099,                 2.2607,             0.00033023,             0.00033023,             0.00033023
                     53,                 1.6817,                 2.8672,                 2.2774,                0.35612,                0.39397,                0.35494,                0.22599,                 1.4739,                  2.905,                 2.2526,             0.00032363,             0.00032363,             0.00032363
                     54,                 1.7057,                 2.8991,                 2.3269,                0.49347,                0.43297,                0.42615,                0.28377,                 1.4328,                 2.7546,                  2.214,             0.00031703,             0.00031703,             0.00031703
                     55,                 1.7093,                 2.8378,                 2.2902,                0.55809,                0.34673,                0.43656,                0.28609,                 1.4665,                 2.8144,                 2.2285,             0.00031042,             0.00031042,             0.00031042
                     56,                 1.6797,                 2.8199,                 2.2718,                0.46692,                0.38422,                0.39445,                0.25219,                 1.4661,                  2.848,                 2.2239,             0.00030382,             0.00030382,             0.00030382
                     57,                 1.6561,                  2.845,                 2.2375,                0.52031,                0.42016,                0.39592,                0.25502,                 1.4251,                 2.7692,                 2.1724,             0.00029722,             0.00029722,             0.00029722
                     58,                 1.6045,                 2.7187,                 2.2012,                0.59116,                0.41723,                 0.4229,                0.27746,                 1.3944,                  2.666,                 2.1677,             0.00029061,             0.00029061,             0.00029061
                     59,                 1.6153,                  2.735,                 2.2027,                0.55813,                0.41829,                0.43609,                0.29447,                 1.3901,                  2.646,                 2.2062,             0.00028401,             0.00028401,             0.00028401
                     60,                  1.647,                 2.7393,                 2.2399,                0.51164,                0.51624,                0.49895,                0.34081,                 1.3524,                 2.5364,                 2.1156,             0.00027741,             0.00027741,             0.00027741
                     61,                 1.6015,                 2.7286,                 2.1838,                0.52403,                0.45597,                0.46662,                0.31656,                 1.3549,                 2.5803,                 2.1074,              0.0002708,              0.0002708,              0.0002708
                     62,                 1.6396,                 2.7265,                 2.1887,                0.51804,                0.44797,                 0.4736,                0.31564,                 1.3896,                 2.6129,                 2.1816,              0.0002642,              0.0002642,              0.0002642
                     63,                 1.6512,                 2.7208,                 2.2257,                0.56255,                0.48754,                0.50067,                0.34229,                 1.3811,                 2.5464,                 2.1528,              0.0002576,              0.0002576,              0.0002576
                     64,                 1.5834,                 2.6819,                 2.1394,                0.44843,                0.48822,                   0.48,                0.32473,                 1.3401,                 2.4989,                 2.0792,             0.00025099,             0.00025099,             0.00025099
                     65,                 1.5787,                 2.6709,                 2.1585,                0.61288,                0.43234,                0.50649,                0.35217,                 1.3305,                 2.4582,                 2.0727,             0.00024439,             0.00024439,             0.00024439
                     66,                 1.5358,                 2.6429,                 2.1094,                0.59098,                0.50892,                0.50528,                0.34811,                 1.3717,                 2.4792,                  2.131,             0.00023779,             0.00023779,             0.00023779
                     67,                 1.5302,                 2.6035,                 2.0981,                0.51358,                0.52898,                0.49096,                0.33634,                 1.3417,                 2.5014,                 2.1072,             0.00023118,             0.00023118,             0.00023118
                     68,                 1.5426,                 2.6065,                    2.1,                0.50545,                0.57587,                0.53042,                0.36272,                 1.2971,                 2.4234,                 2.0553,             0.00022458,             0.00022458,             0.00022458
                     69,                  1.547,                 2.5791,                 2.1096,                0.70151,                0.45908,                0.51407,                0.35589,                 1.3282,                 2.4612,                 2.0897,             0.00021798,             0.00021798,             0.00021798
                     70,                 1.4632,                 2.5017,                 2.0417,                0.64366,                  0.454,                0.51404,                0.36123,                 1.2784,                 2.4238,                 2.0478,             0.00021137,             0.00021137,             0.00021137
                     71,                 1.5082,                 2.5872,                 2.0962,                0.57869,                0.48984,                0.52032,                0.36256,                 1.2916,                 2.3951,                 2.0313,             0.00020477,             0.00020477,             0.00020477
                     72,                 1.4675,                 2.4934,                 2.0401,                0.48939,                0.45798,                 0.5297,                0.36437,                 1.2788,                 2.3448,                 1.9947,             0.00019817,             0.00019817,             0.00019817
                     73,                 1.5137,                 2.4874,                 2.0577,                0.50465,                0.52511,                0.54185,                0.39018,                 1.2427,                 2.3239,                 1.9647,             0.00019156,             0.00019156,             0.00019156
                     74,                 1.5015,                 2.4988,                 2.0711,                0.54764,                0.51822,                0.54956,                0.38847,                 1.2717,                 2.3897,                 1.9897,             0.00018496,             0.00018496,             0.00018496
                     75,                 1.4924,                 2.4959,                 2.0833,                0.54125,                0.52066,                0.56259,                0.40177,                 1.2371,                 2.3673,                 1.9587,             0.00017836,             0.00017836,             0.00017836
                     76,                 1.5035,                 2.4391,                  2.053,                0.47116,                0.61286,                 0.5594,                0.39482,                 1.2386,                 2.2901,                 1.9532,             0.00017175,             0.00017175,             0.00017175
                     77,                 1.5213,                 2.4867,                 2.0895,                0.52637,                0.58504,                0.59607,                0.41751,                 1.2379,                 2.2245,                 1.9354,             0.00016515,             0.00016515,             0.00016515
                     78,                 1.4713,                 2.4856,                 2.0482,                0.52103,                0.62914,                 0.6223,                0.44764,                 1.1933,                 2.1757,                 1.8938,             0.00015855,             0.00015855,             0.00015855
